Date,Time,Date_Time,pp_CO2
4/13/2018,16:05:00,4/13/2018 16:05,978.1786696
4/13/2018,17:05:00,4/13/2018 17:05,977.598335
4/13/2018,18:05:00,4/13/2018 18:05,970.7468374
4/13/2018,19:05:00,4/13/2018 19:05,966.824027
4/13/2018,20:05:00,4/13/2018 20:05,967.2634181
4/13/2018,21:05:00,4/13/2018 21:05,967.1237688
4/13/2018,22:05:00,4/13/2018 22:05,967.9605974
4/13/2018,23:05:00,4/13/2018 23:05,967.6754023
4/14/2018,0:05:00,4/14/2018 0:05,968.9649731
4/14/2018,1:05:00,4/14/2018 1:05,970.6137713
4/14/2018,2:05:00,4/14/2018 2:05,972.3692176
4/14/2018,3:05:00,4/14/2018 3:05,972.3368651
4/14/2018,4:05:00,4/14/2018 4:05,972.925159
4/14/2018,5:05:00,4/14/2018 5:05,973.2259297
4/14/2018,6:05:00,4/14/2018 6:05,971.5424421
4/14/2018,7:05:00,4/14/2018 7:05,968.5931988
4/14/2018,8:05:00,4/14/2018 8:05,966.9584858
4/14/2018,9:05:00,4/14/2018 9:05,967.4408351
4/14/2018,10:05:00,4/14/2018 10:05,968.5031822
4/14/2018,11:05:00,4/14/2018 11:05,968.9861278
4/14/2018,12:05:00,4/14/2018 12:05,970.011472
4/14/2018,13:05:00,4/14/2018 13:05,971.0360279
4/14/2018,14:05:00,4/14/2018 14:05,972.6489772
4/14/2018,15:05:00,4/14/2018 15:05,973.3863948
4/14/2018,16:05:00,4/14/2018 16:05,966.111832
4/14/2018,17:05:00,4/14/2018 17:05,957.2409184
4/14/2018,18:05:00,4/14/2018 18:05,961.5170553
4/14/2018,19:05:00,4/14/2018 19:05,963.6877511
4/14/2018,20:05:00,4/14/2018 20:05,964.9945756
4/14/2018,21:05:00,4/14/2018 21:05,966.0150986
4/14/2018,22:05:00,4/14/2018 22:05,966.9734769
4/14/2018,23:05:00,4/14/2018 23:05,968.326035
4/15/2018,0:05:00,4/15/2018 0:05,969.5367912
4/15/2018,1:05:00,4/15/2018 1:05,970.4148052
4/15/2018,2:05:00,4/15/2018 2:05,971.7743598
4/15/2018,3:05:00,4/15/2018 3:05,973.7238281
4/15/2018,4:05:00,4/15/2018 4:05,967.2340872
4/15/2018,5:05:00,4/15/2018 5:05,978.9696458
4/15/2018,6:05:00,4/15/2018 6:05,977.6484368
4/15/2018,7:05:00,4/15/2018 7:05,981.8923557
4/15/2018,8:05:00,4/15/2018 8:05,980.5693472
4/15/2018,9:05:00,4/15/2018 9:05,979.3897185
4/15/2018,10:05:00,4/15/2018 10:05,977.7760679
4/15/2018,11:05:00,4/15/2018 11:05,977.5267998
4/15/2018,12:05:00,4/15/2018 12:05,976.8391141
4/15/2018,13:05:00,4/15/2018 13:05,977.3231506
4/15/2018,14:05:00,4/15/2018 14:05,977.5130148
4/15/2018,15:05:00,4/15/2018 15:05,977.41403
4/15/2018,16:05:00,4/15/2018 16:05,978.0482172
4/15/2018,17:05:00,4/15/2018 17:05,1020.975698
4/15/2018,18:05:00,4/15/2018 18:05,1045.179231
4/15/2018,19:05:00,4/15/2018 19:05,1079.117621
4/15/2018,20:05:00,4/15/2018 20:05,1063.404796
4/15/2018,21:05:00,4/15/2018 21:05,1056.539994
4/15/2018,22:05:00,4/15/2018 22:05,1054.979725
4/15/2018,23:05:00,4/15/2018 23:05,1053.02056
4/16/2018,0:05:00,4/16/2018 0:05,1054.343487
4/16/2018,1:05:00,4/16/2018 1:05,1057.265327
4/16/2018,2:05:00,4/16/2018 2:05,1058.890869
4/16/2018,3:05:00,4/16/2018 3:05,1061.349125
4/16/2018,4:05:00,4/16/2018 4:05,1064.159928
4/16/2018,6:05:00,4/16/2018 6:05,1063.090884
4/16/2018,7:05:00,4/16/2018 7:05,1088.629945
4/16/2018,8:05:00,4/16/2018 8:05,1094.517354
4/16/2018,9:05:00,4/16/2018 9:05,1084.558459
4/16/2018,10:05:00,4/16/2018 10:05,1080.688338
4/16/2018,11:05:00,4/16/2018 11:05,1080.991143
4/16/2018,12:05:00,4/16/2018 12:05,1082.665942
4/16/2018,13:05:00,4/16/2018 13:05,1086.025628
4/16/2018,14:05:00,4/16/2018 14:05,1088.371687
4/16/2018,15:05:00,4/16/2018 15:05,1090.893767
4/16/2018,16:05:00,4/16/2018 16:05,1094.785857
4/16/2018,17:05:00,4/16/2018 17:05,1097.342965
4/16/2018,18:05:00,4/16/2018 18:05,1099.393709
4/16/2018,19:05:00,4/16/2018 19:05,1100.442018
4/16/2018,20:05:00,4/16/2018 20:05,1085.997561
4/16/2018,21:05:00,4/16/2018 21:05,1076.670019
4/16/2018,22:05:00,4/16/2018 22:05,1073.157943
4/16/2018,23:05:00,4/16/2018 23:05,1073.002087
4/17/2018,0:05:00,4/17/2018 0:05,1074.49337
4/17/2018,1:05:00,4/17/2018 1:05,1076.640678
4/17/2018,2:05:00,4/17/2018 2:05,1078.97424
4/17/2018,3:05:00,4/17/2018 3:05,1081.971576
4/17/2018,4:05:00,4/17/2018 4:05,1084.086686
4/17/2018,5:05:00,4/17/2018 5:05,1087.391026
4/17/2018,6:05:00,4/17/2018 6:05,1093.139636
4/17/2018,7:05:00,4/17/2018 7:05,1100.15234
4/17/2018,8:05:00,4/17/2018 8:05,1104.979614
4/17/2018,9:05:00,4/17/2018 9:05,1106.591896
4/17/2018,10:05:00,4/17/2018 10:05,1105.533895
4/17/2018,11:05:00,4/17/2018 11:05,1105.206941
4/17/2018,12:05:00,4/17/2018 12:05,1105.375398
4/17/2018,13:05:00,4/17/2018 13:05,1106.407428
4/17/2018,14:05:00,4/17/2018 14:05,1106.731796
4/17/2018,15:05:00,4/17/2018 15:05,1105.836493
4/17/2018,16:05:00,4/17/2018 16:05,1105.810183
4/17/2018,17:05:00,4/17/2018 17:05,1108.730893
4/17/2018,18:05:00,4/17/2018 18:05,1113.249838
4/17/2018,19:05:00,4/17/2018 19:05,1116.759353
4/17/2018,20:05:00,4/17/2018 20:05,1119.053531
4/17/2018,21:05:00,4/17/2018 21:05,1117.997251
4/17/2018,22:05:00,4/17/2018 22:05,1111.510248
4/17/2018,23:05:00,4/17/2018 23:05,1107.510942
4/18/2018,0:05:00,4/18/2018 0:05,1105.431844
4/18/2018,1:05:00,4/18/2018 1:05,1104.392248
4/18/2018,2:05:00,4/18/2018 2:05,1104.583048
4/18/2018,3:05:00,4/18/2018 3:05,1107.672059
4/18/2018,4:05:00,4/18/2018 4:05,1109.249162
4/18/2018,5:05:00,4/18/2018 5:05,1110.286204
4/18/2018,6:05:00,4/18/2018 6:05,1111.84633
4/18/2018,7:05:00,4/18/2018 7:05,1112.190212
4/18/2018,8:05:00,4/18/2018 8:05,1113.426332
4/18/2018,9:05:00,4/18/2018 9:05,1113.945187
4/18/2018,10:05:00,4/18/2018 10:05,1109.723196
4/18/2018,11:05:00,4/18/2018 11:05,1108.371191
4/18/2018,12:05:00,4/18/2018 12:05,1107.652434
4/18/2018,13:05:00,4/18/2018 13:05,1108.887085
4/18/2018,14:05:00,4/18/2018 14:05,1113.077255
4/18/2018,15:05:00,4/18/2018 15:05,1112.746253
4/18/2018,16:05:00,4/18/2018 16:05,1113.612598
4/18/2018,17:05:00,4/18/2018 17:05,1114.284496
4/18/2018,18:05:00,4/18/2018 18:05,1116.242065
4/18/2018,19:05:00,4/18/2018 19:05,1115.672335
4/18/2018,20:05:00,4/18/2018 20:05,1114.094875
4/18/2018,21:05:00,4/18/2018 21:05,1101.291071
4/18/2018,22:05:00,4/18/2018 22:05,1097.445975
4/18/2018,23:05:00,4/18/2018 23:05,1103.912221
4/19/2018,0:05:00,4/19/2018 0:05,1100.311641
4/19/2018,1:05:00,4/19/2018 1:05,1098.249919
4/19/2018,2:05:00,4/19/2018 2:05,1096.403961
4/19/2018,3:05:00,4/19/2018 3:05,1095.52234
4/19/2018,4:05:00,4/19/2018 4:05,1094.455082
4/19/2018,5:05:00,4/19/2018 5:05,1096.368135
4/19/2018,6:05:00,4/19/2018 6:05,1097.903399
4/19/2018,7:05:00,4/19/2018 7:05,1100.500784
4/19/2018,13:05:00,4/19/2018 13:05,1076.306022
4/19/2018,14:05:00,4/19/2018 14:05,1075.273866
4/19/2018,15:05:00,4/19/2018 15:05,1076.908749
4/19/2018,16:05:00,4/19/2018 16:05,1078.560753
4/19/2018,17:05:00,4/19/2018 17:05,1082.059914
4/19/2018,18:05:00,4/19/2018 18:05,1085.519338
4/19/2018,19:05:00,4/19/2018 19:05,1089.724731
4/19/2018,20:05:00,4/19/2018 20:05,1093.64189
4/19/2018,21:05:00,4/19/2018 21:05,1097.570452
4/19/2018,22:05:00,4/19/2018 22:05,1095.655633
4/19/2018,23:05:00,4/19/2018 23:05,1091.904714
4/20/2018,0:05:00,4/20/2018 0:05,1087.718786
4/20/2018,1:05:00,4/20/2018 1:05,1085.663563
4/20/2018,2:05:00,4/20/2018 2:05,1085.490934
4/20/2018,3:05:00,4/20/2018 3:05,1088.706565
4/20/2018,4:05:00,4/20/2018 4:05,1090.590763
4/20/2018,5:05:00,4/20/2018 5:05,1091.055888
4/20/2018,6:05:00,4/20/2018 6:05,1092.046359
4/20/2018,7:05:00,4/20/2018 7:05,1095.472184
4/20/2018,8:05:00,4/20/2018 8:05,1098.895017
4/20/2018,9:05:00,4/20/2018 9:05,1101.665707
4/20/2018,10:05:00,4/20/2018 10:05,1081.009424
4/20/2018,11:05:00,4/20/2018 11:05,1069.0278
4/20/2018,12:05:00,4/20/2018 12:05,1066.339124
4/20/2018,13:05:00,4/20/2018 13:05,1069.032647
4/20/2018,14:05:00,4/20/2018 14:05,1074.391929
4/20/2018,15:05:00,4/20/2018 15:05,1076.760054
